# design artefact							
# ARTEFACT: STAGING_CUSTOMER_ACCOUNT							
# DESCRIPTION: Customer account table from the ACCOUNTS system							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
id	UID column	int	11		TRUE	TRUE	TRUE
CUSTOMER_NUMBER	customer number	varchar	45		TRUE		FALSE
ACCOUNT_ID	the customer account Id	varchar	45		TRUE		FALSE
ACCOUNT_NAME	customer account name	varchar	45		FALSE		FALSE
ACCOUNT_TYPE_ID	the customer account type Id (fk)	varchar	45		FALSE		FALSE
CREATED_DATETIME		datetime			FALSE		FALSE
UPDATED_DATETIME		datetime			FALSE		FALSE
