# designartefact							
# ARTEFACT: DimMarketingCampaign							
# DESCRIPTION: Campaign dimension table							
COLUMN	DESC	TYPE	LENGTH	DEFAULT	NOT_NULL	PK	AUTO_INCREMENT
MarketingCampaignKey	Campaign key used in the source	int			FALSE	FALSE	FALSE
MarketingCampaignShortDesc	Short description of offer	nvarchar	20		FALSE	FALSE	FALSE
MarketingCampaignDesc	Description of offer	nvarchar	4000		FALSE	FALSE	FALSE
MarketingCampaignStartDate		Date			FALSE		FALSE
MarketingCampaignEndDate		Date			FALSE		FALSE
ContactType	Contact method	nvarchar	50		FALSE	FALSE	FALSE
PrivacyAssessmentKey	An identifier provided by the privacy officer following assessment	nvarchar	50		FALSE	FALSE	FALSE
